timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-06 10:03:25,SPY,632.36,150,632.43,300,632.19,50
2025-08-06 10:03:27,SPY,632.36,150,632.43,300,632.19,50
2025-08-06 10:03:29,SPY,632.41,550,632.54,200,632.45,20
2025-08-06 10:03:31,SPY,632.41,550,632.54,200,632.45,20
2025-08-06 10:03:33,SPY,632.41,550,632.54,200,632.45,20
2025-08-06 10:03:35,SPY,632.42,"1,010",632.49,500,632.43,9
2025-08-06 10:03:38,SPY,632.42,"1,010",632.49,500,632.43,9
2025-08-06 10:03:40,SPY,632.42,"1,010",632.49,500,632.43,9
2025-08-06 10:03:42,SPY,632.48,410,632.54,770,632.49,20
2025-08-06 10:03:44,SPY,632.48,410,632.54,770,632.49,20
2025-08-06 10:03:46,SPY,632.48,410,632.54,770,632.49,20
2025-08-06 10:03:48,SPY,632.44,115,632.52,1,632.47,11
2025-08-06 10:03:50,SPY,632.44,115,632.52,1,632.47,11
2025-08-06 10:03:52,SPY,632.44,115,632.52,1,632.47,11
2025-08-06 10:03:54,SPY,632.33,250,632.41,350,632.47,11
2025-08-06 10:03:57,SPY,632.33,250,632.41,350,632.47,11
2025-08-06 10:03:59,SPY,632.33,250,632.41,350,632.47,11
2025-08-06 10:04:01,SPY,632.33,250,632.42,412,632.35,96
2025-08-06 10:04:03,SPY,632.33,250,632.42,412,632.35,96
2025-08-06 10:04:05,SPY,632.31,150,632.39,306,632.32,20
2025-08-06 10:04:07,SPY,632.31,150,632.39,306,632.32,20
2025-08-06 10:04:09,SPY,632.31,150,632.39,306,632.32,20
2025-08-06 10:04:11,SPY,632.36,120,632.42,356,632.32,20
2025-08-06 10:04:14,SPY,632.36,120,632.42,356,632.32,20
2025-08-06 10:04:16,SPY,632.36,120,632.42,356,632.32,20
2025-08-06 10:04:18,SPY,632.35,530,632.42,357,632.35,1
2025-08-06 10:04:20,SPY,632.35,530,632.42,357,632.35,1
2025-08-06 10:04:22,SPY,632.35,530,632.42,357,632.35,1
2025-08-06 10:04:24,SPY,632.40,530,632.47,301,632.34,6
2025-08-06 10:04:26,SPY,632.40,530,632.47,301,632.34,6
2025-08-06 10:04:28,SPY,632.40,530,632.47,301,632.34,6
2025-08-06 10:04:31,SPY,632.37,551,632.44,804,632.41,100
2025-08-06 10:04:33,SPY,632.37,551,632.44,804,632.41,100
2025-08-06 10:04:35,SPY,632.37,551,632.44,354,632.36,30
2025-08-06 10:04:37,SPY,632.37,550,632.44,354,632.36,30
2025-08-06 10:04:39,SPY,632.37,550,632.44,354,632.36,30
2025-08-06 10:04:41,SPY,632.3000,550,632.3700,324,632.3000,100
2025-08-06 10:04:43,SPY,632.3000,550,632.3700,324,632.3000,100
2025-08-06 10:04:46,SPY,632.3000,550,632.3700,324,632.3000,100
2025-08-06 10:04:48,SPY,632.3200,550,632.4000,201,632.3000,100
2025-08-06 10:04:50,SPY,632.3200,550,632.4000,201,632.3000,100
2025-08-06 10:04:52,SPY,632.3200,550,632.4000,201,632.3000,100
2025-08-06 10:04:54,SPY,632.3100,440,632.4000,221,632.3400,100
2025-08-06 10:04:56,SPY,632.3100,440,632.4000,221,632.3400,100
2025-08-06 10:04:58,SPY,632.3100,440,632.4000,221,632.3400,100
2025-08-06 10:05:01,SPY,632.3500,550,632.4200,201,632.3400,100
2025-08-06 10:05:03,SPY,632.3500,550,632.4200,201,632.3400,100
2025-08-06 10:05:05,SPY,632.3500,550,632.4200,201,632.3400,100
timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-06 11:46:30,SPY,7.7900,"6,803",7.8400,"6,210",7.7950,100
2025-08-06 11:46:33,SPY,632.77,660,632.82,361,632.77,100
2025-08-06 11:46:35,SPY,632.77,660,632.82,361,632.77,100
2025-08-06 11:46:37,SPY,632.77,660,632.82,361,632.77,100
2025-08-06 11:46:39,SPY,632.77,660,632.82,361,632.77,100
2025-08-06 11:46:41,SPY,632.77,100,632.82,381,632.76,100
2025-08-06 11:46:43,SPY,632.77,100,632.82,381,632.76,100
2025-08-06 11:46:45,SPY,632.77,100,632.82,381,632.76,100
2025-08-06 11:46:47,SPY,632.77,100,632.82,381,632.76,100
2025-08-06 11:46:50,SPY,632.77,100,632.82,381,632.76,100
2025-08-06 11:46:52,SPY,632.74,660,632.79,"1,560",632.75,200
2025-08-06 11:46:54,SPY,632.74,660,632.79,"1,560",632.75,200
2025-08-06 11:46:56,SPY,632.74,660,632.79,"1,560",632.75,200
2025-08-06 11:46:58,SPY,632.74,660,632.79,"1,560",632.75,200
2025-08-06 11:47:00,SPY,632.74,660,632.79,"1,560",632.75,200
2025-08-06 11:47:02,SPY,632.72,360,632.77,377,632.72,9
2025-08-06 11:47:05,SPY,632.72,360,632.77,377,632.72,9
2025-08-06 11:47:07,SPY,632.71,419,632.76,280,632.72,100
2025-08-06 11:47:09,SPY,632.71,419,632.76,280,632.72,100
2025-08-06 11:47:11,SPY,632.71,419,632.76,280,632.72,100
2025-08-06 11:47:13,SPY,632.71,419,632.76,280,632.72,100
2025-08-06 11:47:15,SPY,632.71,419,632.76,280,632.72,100
2025-08-06 11:47:17,SPY,632.71,546,632.76,280,632.70,5
2025-08-06 11:47:19,SPY,632.71,546,632.76,280,632.70,5
2025-08-06 11:47:22,SPY,632.71,546,632.76,280,632.70,5
2025-08-06 11:47:24,SPY,632.71,546,632.76,280,632.70,5
2025-08-06 11:47:26,SPY,632.71,546,632.76,280,632.70,5
2025-08-06 11:47:28,SPY,632.74,532,632.79,280,632.75,38
2025-08-06 11:47:30,SPY,632.74,532,632.79,280,632.75,38
2025-08-06 11:47:32,SPY,632.74,532,632.79,280,632.75,38
2025-08-06 11:47:34,SPY,632.74,532,632.79,280,632.75,38
2025-08-06 11:47:37,SPY,632.74,532,632.79,280,632.75,38
2025-08-06 11:47:39,SPY,632.76,375,632.81,"1,620",632.74,100
2025-08-06 11:47:41,SPY,632.76,375,632.81,"1,620",632.74,100
2025-08-06 11:47:43,SPY,632.77,660,632.82,301,632.77,2
2025-08-06 11:47:45,SPY,632.77,660,632.82,301,632.77,2
2025-08-06 11:47:47,SPY,632.77,660,632.82,301,632.77,2
2025-08-06 11:47:49,SPY,632.77,660,632.82,301,632.77,2
2025-08-06 11:47:51,SPY,632.77,660,632.82,301,632.77,2
2025-08-06 11:47:54,SPY,632.74,670,632.79,"1,380",632.75,54
2025-08-06 11:47:56,SPY,632.74,670,632.79,"1,380",632.75,54
2025-08-06 11:47:58,SPY,632.74,670,632.79,"1,380",632.75,54
2025-08-06 11:48:00,SPY,632.74,"1,400",632.79,"1,360",632.74,28
2025-08-06 11:48:02,SPY,632.74,"1,400",632.79,"1,360",632.74,28
2025-08-06 11:48:04,SPY,632.74,"1,400",632.79,"1,360",632.74,28
2025-08-06 11:48:06,SPY,632.74,"1,400",632.79,"1,360",632.74,28
2025-08-06 11:48:08,SPY,632.72,360,632.77,461,632.73,207
2025-08-06 11:48:11,SPY,632.72,360,632.77,461,632.73,207
2025-08-06 11:48:13,SPY,632.72,360,632.77,461,632.73,207
2025-08-06 11:48:15,SPY,632.74,500,632.79,280,632.74,100
2025-08-06 11:48:17,SPY,632.74,500,632.79,280,632.74,100
2025-08-06 11:48:19,SPY,632.74,500,632.79,280,632.74,100
